rank,prev_rank,name,league,off,def,spi
182,182,Antwerp,Belgian Jupiler League,1.41,1.16,51.49
183,183,Jiangsu Suning FC,Chinese Super League,1.5,1.26,51.28
184,184,Kawasaki Frontale,Japanese J League,1.48,1.25,51.15
185,185,Queens Park Rangers,English League Championship,1.53,1.31,50.91
186,186,Fluminense,Brasileiro Série A,1.36,1.14,50.9
187,187,León,Mexican Primera Division Torneo Clausura,1.56,1.34,50.88
188,188,Santos Laguna,Mexican Primera Division Torneo Clausura,1.51,1.29,50.83
189,189,CFR 1907 Cluj,UEFA Europa League,1.49,1.27,50.79
190,190,FC Astana,UEFA Europa League,1.54,1.33,50.65
191,191,Vitesse,Dutch Eredivisie,1.7,1.49,50.51
192,192,Standard Liege,Belgian Jupiler League,1.44,1.24,50.48
193,193,Vasco da Gama,Brasileiro Série A,1.35,1.16,50.06
194,194,Alanyaspor,Turkish Turkcell Super Lig,1.34,1.16,49.97
195,195,VfB Stuttgart,German 2. Bundesliga,1.52,1.34,49.87
196,196,Shandong Luneng,Chinese Super League,1.6,1.43,49.81
197,197,Servette,Swiss Raiffeisen Super League,1.47,1.3,49.57
198,198,CA Independiente,Argentina Primera Division,1.2,1.04,49.46
199,199,Rosenborg,Norwegian Tippeligaen,1.62,1.47,49.37
200,200,Blackburn,English League Championship,1.33,1.17,49.34
201,201,Pachuca,Mexican Primera Division Torneo Clausura,1.43,1.27,49.33
202,202,Derby County,English League Championship,1.43,1.29,48.88
203,203,Djurgardens IF,Swedish Allsvenskan,1.36,1.23,48.83
204,204,Huddersfield Town,English League Championship,1.34,1.2,48.78
205,205,FC Nordsjaelland,Danish SAS-Ligaen,1.59,1.47,48.71
206,206,Dinamo Moscow,Russian Premier Liga,1.16,1.02,48.63
207,207,Newell's Old Boys,Argentina Primera Division,1.24,1.11,48.58
208,208,Toulouse,French Ligue 1,1.38,1.25,48.56
209,209,Sochi,Russian Premier Liga,1.35,1.22,48.55
210,210,Panathinaikos,Greek Super League,1.19,1.06,48.53
211,211,Swansea City,English League Championship,1.38,1.26,48.53
212,212,Racing Club,Argentina Primera Division,1.18,1.06,48.4
213,213,Bahía,Brasileiro Série A,1.28,1.17,48.12
